Generated by Ultimate_GMS2_Decompiler_v3.csx
78 - spr_tv_bubbleopen
79 - spr_bubblefont
80 - spr_player_keyget
81 - spr_johnegbert_mug
82 - spr_goo
83 - Sprite2005
84 - spr_beesoldier_projectile
85 - spr_bigcollect3P
86 - spr_eyescreamsandwich_divestart
87 - spr_banana_idle
88 - spr_sbwalksad
89 - spr_badcombo_boil
90 - spr_player_slidefall
91 - spr_player_bodyslamland
92 - spr_secretfound_debug
93 - spr_player_haulingjump
94 - spr_pizzano_kungfu2
95 - spr_player_superjump
96 - spr_player_haulingstart
97 - spr_pizzano_pause_escape
98 - spr_confectibox
99 - bg_clockparallax1
100 - spr_secret_smallbreak_debug
101 - spr_player_canesuplex
102 - entryway_endroomescape4
103 - spr_player_tackle
104 - spr_minizelle_walk
105 - spr_pizzytvmine
106 - spr_janitor2_run
107 - spr_sbdead
108 - spr_player_haulingwalk
109 - spr_player_ufoShootHold
110 - spr_mineken
111 - spr_knight_scared
112 - spr_player_machslideend
113 - spr_donut_boil
114 - spr_spamton_dumpsteropen
115 - spr_popcorndeathsh
116 - spr_player_minecartfast
117 - spr_player_minecart
118 - spr_backgroundnull
119 - spr_902
120 - spr_flamecloud
121 - spr_player_3hpwalk
122 - spr_player_suplexmash3
123 - spr_player_bodyslamstart
124 - bg_estate1back2E
125 - spr_gumspitter_idle
126 - spr_player_crouchjump
127 - spr_player_skateidle
128 - spr_hotcaramel
129 - spr_player_timeup
130 - bg_estate1ground2
131 - sky_esc_screaming_ships
132 - spr_player_crazyrun
133 - spr_guard_run
134 - spr_sluggy_jumphitbox
135 - spr_player_skatewalljumpstart
136 - spr_player_crouch
137 - spr_player_machslide
138 - spr_beegee_backing
139 - bg_cavebg3
140 - spr_player_bossintro
141 - spr_player_donutSlam_intro
142 - spr_rankrudejanitor
143 - spr_molasses_startgate_mask
144 - spr_bigbreakEscape
145 - spr_player_fireassend
146 - spr_player_fireass
147 - spr_player_ladderdown
148 - spr_player_grab
149 - spr_player_secondjump2
150 - spr_player_canehit
151 - spr_player_crouchstart
152 - spr_jellyswitch_debris
153 - spr_player_piledriverstart
154 - spr_player_machpunch1
155 - spr_player_freefall
156 - spr_clocktowerexteriorDebris
157 - spr_pizzytvmach4
158 - spr_rosettegavetreat
159 - spr_coneboy_slidekickfall
160 - spr_player_squished
161 - spr_candy_panic
162 - spr_player_mach3
163 - spr_player_machslideboost
164 - spr_player_fall
165 - bg_fudgetop2_foreground_escape
166 - spr_rosette_shopnpc
167 - spr_cookiemount
168 - spr_player_airdash1
169 - spr_sludge
170 - spr_player_climbwall
171 - spr_eyescreamsandwich_popout
172 - spr_helptv
173 - spr_pizzytvjanitor
174 - spr_player_rageidle
175 - spr_redx
176 - spr_icescreamer_shoot
177 - spr_sluggy_almanac
178 - spr_beesoldier_dead
179 - spr_timer_coneball
180 - spr_popcornstunsh
181 - spr_player_candyidle
182 - bg_fudgetop_sky
183 - spr_player_machslidestart
184 - spr_player_facehurt
185 - spr_pizzytv_escape6
186 - spr_spamton
187 - hubrosette
188 - spr_spamtonup
189 - spr_tutorialdoorexit
190 - spr_player_crouchfall
191 - spr_player_secondjump1
192 - spr_sluggy_dead
193 - spr_gumbob_propeller_start
194 - spr_timedButtonReverting
195 - spr_player_stompfall
196 - spr_player_bottlerocket_turn
197 - bg_hub2
198 - spr_combometer
199 - spr_pizzytvkey
200 - spr_snowcloudstun
201 - spr_cookiemountkick
202 - spr_player_mach1
203 - spr_player_airdash2
204 - spr_combometer_font
205 - spr_doorP
206 - spr_knight_almanac
207 - spr_pizzano_landwalk
208 - bg_johnwall
209 - spr_coneboy_slidekick
210 - spr_player_uppercutend
211 - spr_pizzytvmarsh
212 - bg_mines1para2
213 - spr_player_machslideboost3
214 - spr_player_bodyslamfall
215 - spr_giantcollect3
216 - spr_candysona_dead8
217 - spr_bombpep_runabouttoexplode
218 - spr_player_facehurtup
219 - spr_player_haulingidle
220 - spr_chocofrogbigdead_tumble
221 - spr_player_gumball
222 - spr_snowcloudhit
223 - spr_player_superjumpright
224 - spr_player_walk
225 - bg_fudgetop3_mountain2escape
226 - spr_player_mach3hitwall
227 - bg_molassestemple1
228 - temp_ref
229 - spr_molassesForeground
230 - spr_player_facestomp
231 - spr_player_bubblefloat
232 - spr_pixel
233 - spr_player_mach3jump
234 - spr_player_haulingland
235 - spr_rankcardflipping
236 - bg_fudgetop3_flyingDudeescape
237 - spr_pizzytvhurt
238 - spr_secretCubeDebris
239 - spr_player_mask_1
240 - spr_wtfcombo_intro
241 - spr_player_lookdoor
242 - bg_fudgetop3_1
243 - spr_eskimo_scare
244 - bg_entryway2_buildings
245 - spr_player_crawl
246 - spr_player_grabbed
247 - spr_secretPortal
248 - spr_babybear_dead
249 - bg_molasses_rain
250 - spr_player_freefallland
251 - spr_technicaldifficulty
252 - bg_beefront
253 - spr_pizzano_sjumpprep
254 - bg_sucrosebgDebrisSleep
255 - spr_chocolate_appear
256 - bg_estate2water
257 - spr_achievmentcomplete
258 - spr_spookey_move
259 - spr_mintsplosion_throw
260 - spr_janitor2_summonIdle
261 - spr_player_haulingfall
262 - bg_martian_inside_pipes
263 - spr_smallfont
264 - spr_player_tumblestart
265 - spr_banana_dead
266 - spr_bee
267 - spr_siren_active
268 - spr_spamton_dumpsteropen_front
269 - spr_player_tumble
270 - spr_player_tumbleend
271 - spr_player_blockbreak1
272 - spr_player_blockbreak2
273 - spr_honeyslime_scared
274 - spr_tvmuteicon
275 - spr_player_blockbreak3
276 - spr_pizzano_kungfuair1start
277 - spr_player_ufoFloat
278 - spr_donutShitterShitting
279 - spr_player_blockbreak4
280 - spr_pizzano_lookdoor
281 - spr_harryNEW
282 - spr_player_blockbreak5
283 - pal_banana
284 - spr_crack_appear
285 - spr_combotitles
286 - spr_honeyslime_dead
287 - spr_tvcomboend
288 - bg_w1pillar
289 - spr_cotton_doublejump
290 - spr_candysona_idle7
291 - spr_cotton_doublefall
292 - spr_teleporterexit
293 - spr_player_seacream_jump
294 - bg_minesPillar
295 - spr_gnomeBlock_white
296 - spr_cotton_drill
297 - spr_player_skateland
298 - spr_player_drown_jump
299 - spr_pizzano_crouchslide
300 - spr_alrightcombo_boil
301 - spr_player_blockbreak6
302 - bg_thumbnail_mines
303 - spr_coneswitch_ON
304 - steamybg3_escape
305 - spr_file2empty
306 - spr_rudejanitor_idle
307 - spr_pizzano_mach3slam
308 - introbg_5
309 - spr_cloudeffect
310 - spr_player_idlevomitblood
311 - spr_file2
312 - spr_pizzytvhook
313 - spr_minescard_bg
314 - spr_grindraileffect
315 - spr_coneboy_inhaledfall
316 - spr_palc
317 - spr_explosioneffect
318 - spr_almanac_gumslime
319 - spr_font_dialogue
320 - spr_player_hurtwalk
321 - spr_player_swingdingend
322 - spr_molassesGround
323 - spr_player_suplexmash4
324 - bg_danceoff3_6
325 - spr_rosette_pile
326 - spr_player_candyup
327 - spr_icyGround
328 - spr_danceblock_visualoverlay
329 - spr_pizzano_lungehit
330 - bg_secret
331 - spr_bigcherrythrown
332 - spr_player_deathstart
333 - spr_pizzano_mach1jump
334 - spr_playerN_victory
335 - spr_donutShitter
336 - spr_lights
337 - spr_tutorialbg1
338 - spr_painter_paintballcharge
339 - spr_player_uppunch
340 - steamybg5
341 - spr_pizzanobomb
342 - pal_dance
343 - spr_pizzytvuncanny
344 - spr_speaker
345 - bg_temple2_1Escape
346 - bg_swampposter
347 - spr_spookey_idle
348 - bg_tutorial2_2
349 - spr_player_stompprep
350 - spr_player_machhit
351 - spr_timer_font
352 - spr_man
353 - bg_minesDeco1
354 - spr_creamthief_jump
355 - spr_combometer_goo
356 - spr_creamthief_victoryEscape
357 - spr_player_superjump_cancelprep
358 - spr_coneboy_sword_attackup
359 - spr_taserhitbox
360 - spr_pizzytvcotton
361 - spr_player_idlevomit
362 - spr_darkhole
363 - spr_eskimo_sickle
364 - spr_caramel_alive
365 - spr_pizzano_lunge
366 - spr_pizzytvrain
367 - spr_treasure_fudge
368 - spr_aranktopping
369 - spr_titleback
370 - spr_player_suplexmash1
371 - spr_flingfrog_handsmove
372 - spr_rosette_exitsign
373 - spr_dashcloud
374 - spr_candysona_idle1
375 - spr_null
376 - spr_pizzano_jump
377 - spr_flytest_almanac
378 - spr_keyparticles
379 - spr_harrydeadNEW
380 - spr_flingFrogGrab
381 - spr_sucrosebuilding1
382 - spr_player_bushidle
383 - spr_player_swingding
384 - spr_crouchmask
385 - spr_molassescard_bg
386 - bg_estate2sun
387 - spr_pizzanotv2
388 - spr_pizzano_handstandjump2
389 - spr_player_skatejumpstart
390 - steamybg1
391 - spr_cottoncard_bg
392 - spr_bombpep_end
393 - bg_wafersun
394 - bg_estate1sky
395 - bg_blackbg
396 - spr_secretPortal_exitclose
397 - spr_jumpdust
398 - spr_martin
399 - Sprite1944
400 - bg_sucrosebgDebris
401 - ship
402 - spr_rankbubble_cfilled
403 - clock
404 - spr_uparrow
405 - spr_buttonLowering
406 - bgwafer_escape4
407 - spr_secretTile_cutoff
408 - spr_pizzytvgumball
409 - spr_player_superjumpland
410 - spr_cardcherry_idle
411 - spr_grabbiehand_idle
412 - spr_lorebook
413 - spr_MinecartrailSlope
414 - bg_estate1cloudsE
415 - bg_clockparallaxescape
416 - spr_rankclipboard
417 - bgsky2main2
418 - spr_pizzano_crouchstart
419 - spr_cakehud
420 - spr_knightpep_hitbox
421 - spr_molassesbgpara1
422 - bg_spirepara
423 - spr_pizzytv_confecti1
424 - bg_fudgetop3_clouds2
425 - spr_player_eatspaghetti
426 - spr_pizzano_wallslide
427 - spr_player_punch
428 - spr_lapdoorclosed
429 - spr_buttonfont
430 - spr_player_stomp
431 - bg_clockend_3
432 - spr_pizzano_rankS
433 - spr_pizzano_mach3shoulderair
434 - spr_rankbubble_sfilled
435 - spr_tv_bubblefade
436 - steamybg3
437 - world1bg1
438 - spr_player_donutget
439 - spr_player_shoulder
440 - spr_player_geyser
441 - spr_candysona_idle5
442 - spr_sbpalette
443 - spr_eskimo_throw
444 - spr_sourbuddiesnewbag
445 - spr_treasure_cotton
446 - spr_thundercloud_dead
447 - spr_player_supertaunt
448 - spr_pickaxehitbox
449 - spr_pizzelle_flushedrun
450 - spr_gummyworm_taunt
451 - spr_geyserIdle
452 - spr_cardboardcherry
453 - spr_player_levelcomplete
454 - bg_molasses_clouds
455 - bg_exitwaysky
456 - bg_sucrose_cave2
457 - spr_spraydebris
458 - spr_player_climbceilingmach3
459 - spr_cotton_walk
460 - spr_fontcollect
461 - spr_speedlines
462 - spr_player_charge
463 - bg_molassestemple_entrance3
464 - spr_coneboy_dash
465 - spr_player_superjump_cancel
466 - spr_player_mask
467 - entryway_endroombg5
468 - spr_player_backkick
469 - spr_player_dancewalk
470 - steamybg2
471 - spr_pizzano_kungfu4
472 - spr_pizzano_kungfuair2start
473 - spr_checkpointflag
474 - entryway_endroombg4
475 - spr_player_catched
476 - spr_player_shotgunjump
477 - spr_player_deathend
478 - spr_iceblock
479 - spr_pizzytv_escape4
480 - spr_lapdooropen
481 - spr_player_upslopes
482 - bg_johncup
483 - spr_poofeffect
484 - sky_esc_screaming_clouds
485 - spr_pizzano_entergate
486 - spr_candysona_dead1
487 - spr_promptfont
488 - spr_timetrialdoor
489 - spr_player_hookvert
490 - spr_coneboy_slidekickjump
491 - spr_bartimer_normalBack
492 - spr_rankbubble_afilled
493 - spr_stormparticles
494 - spr_timer_coneball_idle
495 - spr_entrycard_title
496 - spr_clutterCone
497 - spr_eventtrigger
498 - spr_coneballraintrans
499 - spr_cottonplatform
500 - spr_file3empty
501 - spr_clockparallax2_escape
502 - bg_fudgetop_mountainback
503 - spr_chargeeffect
504 - spr_tasershockwavehitbox2
505 - spr_2Billboards1dance
506 - bg_sucrose_skySleep
507 - spr_tutorialbg2
508 - bg_wafersky
509 - spr_barpop3
510 - spr_titlescreenback
511 - bg_rankwait
512 - spr_teleporterexit_spit
513 - spr_coneboy_juiceprojectile
514 - sky_esc_screaming_cakes
515 - spr_playerN_glide
516 - spr_player_piledriver
517 - spr_beesoldier_hidden
518 - spr_ANDgate
519 - bg_steamypark
520 - spr_pizzytv
521 - spr_smallpoof
522 - spr_bumpeffect
523 - spr_candysona_idle6
524 - spr_player_crouchslide
525 - spr_checkpointflagInvis
526 - spr_grabbiehand_hifive
527 - spr_painter_dash
528 - spr_coneboy_idle
529 - spr_mintsplosion_dead
530 - spr_timedButtonReleased
531 - spr_80
532 - spr_geyseractive
533 - spr_doorS
534 - spr_sprayland
535 - steamybg4
536 - spr_coneboy_inhaling
537 - spr_donut_shoot
538 - spr_juicepuddlesplash
539 - luigi
540 - spr_disguise
541 - spr_sblatch
542 - spr_pizzano_3hpidle
543 - spr_tasershockwavehitbox
544 - spr_versusbg
545 - spr_metalblockEscape
546 - spr_costumerdoor
547 - bg_sucrosebg2
548 - spr_sbspamton
549 - spr_40
550 - spr_rosettegivetreat
551 - spr_player_supersidejump
552 - spr_player_superjumpleft
553 - spr_spikehurteffect
554 - spr_swed_almanac
555 - spr_pizzytv2
556 - spr_flingfrogmadTire
557 - spr_teakettle_temporary
558 - spr_rankbubble_p
559 - spr_introdebris
560 - spr_pizzano_rankC
561 - spr_dia_martin
562 - spr_player_skatedive
563 - frontpara
564 - spr_spray
565 - spr_player_bottlerocket_grounded
566 - spr_cotton_attack
567 - spr_fudge_startgate
568 - bg_mines1para1_escape
569 - spr_player_hurtidle
570 - spr_player_piledriverland
571 - spr_treasure_sucrose
572 - spr_okcombo_boil
573 - spr_knightpep_thunder
574 - spr_treasure_swamp
575 - spr_hailparticles
576 - spr_molassesbgpara5_escape
577 - spr_player_parry1
578 - spr_font
579 - bgwafer_escape2
580 - spr_player_winding
581 - spr_10
582 - bg_spire
583 - spr_pal
584 - spr_painter_lungestart2
585 - spr_heatmeter
586 - spr_collect_palette
587 - spr_lumbearjack_stun
588 - spr_swordhitbox
589 - spr_bartimer_strip
590 - spr_grabbiehand_catch
591 - spr_lightsource_fade
592 - spr_player_crouchshoot
593 - spr_invempty
594 - spr_player_shotgun
595 - spr_bushfield
596 - spr_invkey
597 - spr_palettechanger_textbox
598 - spr_meloncoolparry
599 - spr_candysona_idle9
600 - spr_metaldebris
601 - spr_timedButtonPressed
602 - bg_clock1
603 - spr_exitgateclosed
604 - spr_pizzano_ladderup
605 - bg_sucrosebg1
606 - spr_pizzytv_escape3
607 - spr_bombexplosion
608 - spr_rankP
609 - spr_pizzanotv
610 - spr_badmarsh_scared
611 - spr_beesoldier_fire
612 - spr_bigdebris2
613 - spr_thundercloud_scared
614 - cl3
615 - bgwafer_escape1
616 - spr_pizzytv3
617 - spr_smallbreak2Escape_Debris
618 - spr_20
619 - spr_andsothetruthisrevealed
620 - spr_candysona_idle10
621 - spr_pizzano_sjumpside
622 - spr_4Recordsforeground1dance
623 - placeholder
624 - spr_cotton_jump
625 - spr_player_entergate
626 - spr_cottondeco
627 - spr_heatmeterunder
628 - spr_witch_almanac
629 - spr_palp
630 - spr_blockdebris
631 - spr_100
632 - spr_player_suplexmash2
633 - Sprite982
634 - spr_player_throwDonut
635 - back
636 - spr_minippcnland
637 - spr_exitsign
638 - spr_candyifiedeffect1
639 - bg_sucrosebg2Sleep
640 - bg_cavebg4
641 - spr_honeyslime_form
642 - spr_bigcollect2P
643 - cl2
644 - spr_cardcherry_death
645 - spr_rudejanitor_unlock
646 - placeholder2
647 - spr_meloncooltaunt
648 - spr_pizzano_sjump
649 - spr_candle_off
650 - bg_exitwayclouds2E
651 - spr_player_machslideboost3Fall
652 - bg_templebgnew1Escape
653 - spr_player_cookiemount_idle
654 - bg_tutorial3D
655 - spr_hallway
656 - spr_sluggy_land
657 - spr_cottonplatform_tiled
658 - spr_beecard_beegee
659 - bg_sucrose_skyActive
660 - bg_fudgetop2_3_escape
661 - spr_pizzelle_fireass
662 - spr_pizzanotvmach2
663 - spr_pizzanoselectpal
664 - spr_gateRaising
665 - spr_sluggy_stunned
666 - spr_fetchquest2
667 - spr_smallbreak2_dead
668 - spr_exitway_startgate_mask
669 - spr_pizzano_crazyrun
670 - spr_cotton_idle
671 - spr_icepopbg
672 - spr_janitor2_summonPresent
673 - world1bg2
674 - spr_player_downslopes
675 - spr_palettechanger_import
676 - spr_polka_fall
677 - spr_player_machroll
678 - spr_molassessign
679 - spr_cotton_fall
680 - spr_beegee_bees
681 - spr_playerN_hookshot
682 - spr_juicedebris
683 - spr_fontcombo
684 - spr_highjumpcloud2
685 - spr_sweetwater
686 - spr_rampMask
687 - spr_tvcombo
688 - spr_gumspitter_spit
689 - spr_whipcreamcap
690 - spr_placeholder3
691 - spr_rudejanitor_walk
692 - bg_templebgnew2Escape
693 - spr_knightpep_start
694 - spr_crazyruneffect
695 - spr_chocolate_panicWalk
696 - spr_coneball_new
697 - spr_fridge_attack
698 - spr_timer_gain
699 - spr_pizzelleuforoll
700 - bg_waferback1
701 - spr_rankbubble_a
702 - fg_sucrose_cave
703 - spr_taunteffect
704 - spr_minizelle_jump
705 - spr_conekitty
706 - spr_coneballspike
707 - spr_crack_panicWalk
708 - spr_player_ceilingcrash
709 - spr_milkblock
710 - spr_banana_almanac
711 - cl1
712 - spr_bushdisguise
713 - spr_coneswitch_OFF
714 - bg_fudgetop_frontmountain
715 - spr_candysona_dead2
716 - bg_estate2sky
717 - spr_guard_outpost
718 - spr_pizzelle_flushedjump
719 - spr_tvbgescape
720 - spr_caramelEDITOR
721 - spr_player_bottlerocketstart
722 - spr_chocolate_panic
723 - spr_duck
724 - spr_1Discofloordance
725 - spr_slim
726 - spr_soda
727 - spr_whipcreamcan
728 - spr_ruthlesscombo_boil
729 - spr_ket
730 - spr_coneboy_inhaledidle
731 - spr_hatty
732 - bg_sucrose_dunes2
733 - spr_rod
734 - spr_ufra
735 - spr_cottonwitch_walk
736 - spr_mintsplosion_scared
737 - spr_cottonwitch_shoot
738 - spr_pizzano_levelintro
739 - spr_pattern3
740 - spr_cottonwitch_scared
741 - spr_cottonwitch_stunned
742 - pal_painter
743 - spr_pizzytvfire
744 - spr_gumballoon
745 - spr_cottonwitch_dead
746 - spr_titlescreenseats
747 - spr_beegee_honey
748 - spr_cottonwitchprojectile
749 - spr_player_grindrail
750 - spr_crack_taunt
751 - spr_hook
752 - bg_pausescreenTile
753 - spr_pizzytv_croaked
754 - spr_dashcloud2
755 - spr_bigDonut_fly
756 - spr_costume_idle
757 - bg_fudgetop_foreground2
758 - spr_theif_keywalk
759 - spr_candysona_dead6
760 - spr_conekittydebris
761 - spr_coneboy_spitprojectile
762 - spr_gumball_idle
763 - bg_mines4
764 - spr_gumball_throw
765 - spr_pizzano_hudpress
766 - spr_player_skatedoublejump
767 - spr_gumball_dead
768 - spr_tv_newstatic
769 - spr_pizzano_chargedidle
770 - spr_gumball_stun
771 - spr_gumball
772 - spr_cookiemountawake
773 - spr_gumslime_walk
774 - spr_player_drown
775 - spr_minizelle_idle
776 - spr_pizzabox_front
777 - spr_gumslime_scared
778 - spr_gumslime_dead
779 - spr_candy_panicWalk
780 - spr_placeholder
781 - spr_bartimer_roll
782 - spr_pal2
783 - spr_honeyslime_stun
784 - spr_candysona_dead10
785 - spr_gummyworm_appear
786 - bg_martian_outsideSky
787 - spr_pizzano_kungfuair3
788 - spr_gumslime_stun
789 - spr_banana_scared
790 - spr_pizzelle_fireassend
791 - spr_phonepicked
792 - spr_gumslime_mask
793 - spr_knight_idle
794 - spr_player_frothstuck
795 - bg_lab
796 - spr_cookiemount_home
797 - spr_knight_walk
798 - spr_knight_dead
799 - spr_knight_stun
800 - spr_timedButtonLowering
801 - spr_player_skatewalk
802 - spr_swed
803 - spr_theif_idle
804 - spr_swed_chargestart
805 - spr_eyescreamsandwich_dive
806 - spr_swedscared
807 - spr_swedstun
808 - bgwafer_escape5
809 - bg_labpipesEscape
810 - spr_swed_charge
811 - spr_sweddead
812 - spr_charcherry_wait
813 - bg_fudgetop3_clouds2escape
814 - spr_candysona_idle8
815 - spr_popcornwalksh
816 - spr_pattern4
817 - spr_charcherry_popout
818 - spr_buttonPressed
819 - spr_charcherry_run
820 - spr_collectPalette
821 - spr_branktopping
822 - rankroom
823 - spr_molassesbgpara1_escape
824 - spr_snowcloudwalk
825 - bg_entryway2_sky
826 - spr_marshmallowSpring
827 - spr_charcherry_dead
828 - spr_doorblocked
829 - spr_waferdestroyableBig
830 - spr_cottonjump
831 - spr_doorlight
832 - spr_painter_turn
833 - spr_creamthief_lose
834 - spr_palettechanger_window
835 - spr_tv_bubbleclose
836 - spr_snowcloudnotice_reverse
837 - spr_molasses_slab_1
838 - spr_player_parry2
839 - spr_pizzytvhappy
840 - spr_player_escapeidle
841 - spr_pizzanotvmach3
842 - spr_coneboy
843 - spr_gnomeMinerBlewUp
844 - spr_banana_charge
845 - bg_scrollingforeground
846 - spr_9Background1dance
847 - spr_wtfcombo_boil
848 - spr_player_machslideboost3FallStart
849 - spr_pattern11
850 - spr_crackerkicker_walk
851 - spr_beegee_railing
852 - spr_disclaimer
853 - spr_crackerkicker_stunned
854 - spr_sluggy
855 - spr_gnomeMinerBlowingUp
856 - spr_secretTile_cutoffDEBUG
857 - spr_fridge_opening
858 - spr_bigbreakEscape_Debris
859 - spr_player_skatedoublejumpstart
860 - spr_crackerkicker_kick
861 - spr_pizzano_rankB
862 - spr_crackerkicker_dead
863 - spr_gumbob_fall
864 - spr_meloncooldeath
865 - spr_badmarsh_stun
866 - spr_cotton_slam
867 - bg_danceoff3_1
868 - spr_applejim_idle
869 - spr_dia_rudejanitor_smirk
870 - spr_movingPlatformTrigger
871 - spr_coneblock_on
872 - spr_minizelle_run
873 - spr_applejim_charge
874 - spr_applejim_stunned
875 - spr_pizzano_supertaunt1
876 - spr_applejim_hitbox
877 - spr_pizzanotv_combo
878 - spr_jimbomb
879 - spr_baddiegibs
880 - spr_pizzytvflushed
881 - bg_templebgnew3Escape
882 - spr_lumbearjack_scared
883 - spr_dragon
884 - spr_slapstar
885 - spr_fridge_idle
886 - spr_player_blockbreak7
887 - spr_eyescreamsandwich
888 - bg_martian_inside_back
889 - spr_enemybird
890 - spr_thundercloud_stun
891 - spr_rankS
892 - spr_candysona_dead11
893 - spr_presentbox
894 - spr_rankA
895 - spr_meloncoolscared
896 - spr_janitor2NPC_idle2
897 - spr_pizzano_ladder
898 - spr_rankB
899 - spr_discoball
900 - spr_pizzytvescape
901 - spr_player_groundpoundland
902 - spr_rankC
903 - spr_juicewalk
904 - spr_rankD
905 - spr_pizzytv_ouchiecrash
906 - spr_onewayblock
907 - spr_socket
908 - spr_beegee_morebees
909 - spr_bomb
910 - spr_pizzytv_escape5
911 - spr_molassesForegroundTransition
912 - spr_ladderend
913 - spr_metalblock
914 - spr_pizzano_kungfuair3start
915 - spr_door
916 - spr_doorA
917 - spr_chocofrogsmall
918 - spr_doorvisited
919 - spr_rank
920 - spr_pizzano_crouch
921 - bg_estate1back1E
922 - spr_tvframe
923 - spr_smallbreak2
924 - spr_chocofrogsmalldead_tumble
925 - spr_rankotherjanitor
926 - spr_lap_font
927 - spr_bigcollect4P
928 - spr_tvbgsecret
929 - spr_creamthief_grabbingStart
930 - spr_key
931 - spr_gumbob_taunt
932 - spr_bomblit
933 - spr_pizzelle_almanac
934 - spr_collect4
935 - spr_collect5
936 - spr_slipperyiceblock
937 - spr_candysona_platform
938 - spr_whitebox
939 - spr_exitgateclosing
940 - bg_fudgetop3_sky
941 - spr_7BuildingsBack2dance
942 - spr_lolipopmineridle
943 - spr_player_ufoFloatLow
944 - spr_harrydead
945 - spr_smallbreak
946 - spr_pizzano_wallcling
947 - spr_rudejanitor_appear
948 - spr_enterexitgate
949 - spr_rankbubble_s
950 - spr_bigbreak
951 - spr_secretPortal_exit
952 - spr_collect1
953 - spr_player_ufoFloatSpeedUp
954 - spr_invdonut
955 - spr_spamtongrab
956 - spr_bombspawner
957 - spr_default_startgate
958 - introbg_2
959 - spr_ladder
960 - spr_bigbreak2
961 - spr_rosette_fall
962 - spr_collect2
963 - spr_pickaxe
964 - spr_chocofrogbig
965 - bg_fudgetop3_3
966 - spr_keydoor
967 - spr_doorC
968 - spr_flingfrog_handsidle
969 - spr_collect3
970 - spr_platform
971 - spr_molassesbgpara2
972 - bg_exitwayclouds1
973 - spr_minipillarwoke
974 - spr_pizzabox
975 - spr_dia_conekitty
976 - spr_water
977 - entryway_endroombg3
978 - spr_doorB
979 - bg_waferback2
980 - spr_cottonmaker
981 - spr_grabbiehand_release
982 - spr_beegee_dome
983 - spr_beegee_bees2
984 - spr_harryalive
985 - spr_gumbob_walk
986 - bg_exitwayclouds1E
987 - spr_minipillarwokeSlope
988 - spr_pizzano_pogo_land
989 - spr_candle_lit
990 - spr_confecti1rank
991 - spr_grabbiehand_fall
992 - spr_secretwall_trigger
993 - spr_pizzytvbomb
994 - bg_minesDeco3
995 - spr_bigdebris
996 - spr_trainturntrigger
997 - spr_canecollect
998 - countdown_scaredhams
999 - spr_bigbreak2Escape
1000 - spr_loadbar
1001 - spr_pizzano_kungfu11478
1002 - spr_spraydie
1003 - spr_rankbubble_c
1004 - spr_spring
1005 - bg_labEscape
1006 - spr_tile_mountain2
1007 - bg_danceoff3_9
1008 - spr_blockdebris2
1009 - spr_cottonparticle
1010 - spr_minecart
1011 - spr_lock
1012 - spr_coneboy_headroll
1013 - spr_dialogbg
1014 - spr_rankbubble_bg
1015 - spr_paintwitch_dead
